Task_id,Task_name,Description,Assigned_to,Progress,Priority,Completion_time,Deadline,User_sentiment,Processed_description,Desc_word_count,Processed_token_count
T1142,Task 002 of Construction of a Hospital Wing Project 048,"Task involves critical work for the General Project. This task has a low priority and is expected to be completed in approximately 14 hours. The deadline for this task is 2024-10-31. Current user sentiment is 'content', which may impact performance.",Grace,0.96,Low,14,2024-10-31,Content,task involve critical work general project task low priority expect complete approximately hour deadline task current user sentiment content may impact performance,40,22
T1143,Task 003 of Construction of a Hospital Wing Project 048,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 4 hours. The deadline for this task is 2024-11-02. Current user sentiment is 'satisfied', which may impact performance.",David,0.97,Medium,4,2024-11-02,Satisfied,task involve critical work general project task medium priority expect complete approximately hour deadline task current user sentiment satisfied may impact performance,40,22
T1144,Task 001 of Road Expansion Project 049,"Task 001 involves critical work for the Road Expansion Project 049. This task has a medium priority and is expected to be completed in approximately 20 hours. The deadline for this task is 2024-08-11. Current user sentiment is 'satisfied', which may impact performance.",Grace,1.0,Medium,20,2024-08-11,Satisfied,task involve critical work road expansion project task medium priority expect complete approximately hour deadline task current user sentiment satisfied may impact performance,43,23
T1145,Task 002 of Road Expansion Project 049,"Task 002 involves critical work for the Road Expansion Project 049. This task has a low priority and is expected to be completed in approximately 35 hours. The deadline for this task is 2024-08-13. Current user sentiment is 'neutral', which may impact performance.",Ivy,0.44,Low,35,2024-08-13,Neutral,task involve critical work road expansion project task low priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,43,23
T1146,Task 003 of Road Expansion Project 049,"Task 003 involves critical work for the Road Expansion Project 049. This task has a medium priority and is expected to be completed in approximately 8 hours. The deadline for this task is 2024-08-23. Current user sentiment is 'content', which may impact performance.",Charlie,0.76,Medium,8,2024-08-23,Content,task involve critical work road expansion project task medium priority expect complete approximately hour deadline task current user sentiment content may impact performance,43,23
T1147,Task 001 of Bridge Maintenance Project 050,"Task 001 involves critical work for the Bridge Maintenance Project 050. This task has a high priority and is expected to be completed in approximately 38 hours. The deadline for this task is 2024-07-22. Current user sentiment is 'focused', which may impact performance.",Eve,0.71,High,38,2024-07-22,Focused,task involve critical work bridge maintenance project task high priority expect complete approximately hour deadline task current user sentiment focused may impact performance,43,23
T1148,Task 002 of Bridge Maintenance Project 050,"Task 002 involves critical work for the Bridge Maintenance Project 050. This task has a high priority and is expected to be completed in approximately 40 hours. The deadline for this task is 2024-07-25. Current user sentiment is 'relieved', which may impact performance.",Grace,1.0,High,40,2024-07-25,Relieved,task involve critical work bridge maintenance project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,43,23
T1149,Task 003 of Bridge Maintenance Project 050,"Task 003 involves critical work for the Bridge Maintenance Project 050. This task has a high priority and is expected to be completed in approximately 18 hours. The deadline for this task is 2024-07-31. Current user sentiment is 'anxious', which may impact performance.",David,0.09,High,18,2024-07-31,Anxious,task involve critical work bridge maintenance project task high priority expect complete approximately hour deadline task current user sentiment anxious may impact performance,43,23
T1150,Task 001 of Office Building Renovation Project 051,"Task 001 involves critical work for the Office Building Renovation Project 051. This task has a low priority and is expected to be completed in approximately 19 hours. The deadline for this task is 2024-12-12. Current user sentiment is 'overwhelmed', which may impact performance.",Alice,0.03,Low,19,2024-12-12,Overwhelmed,task involve critical work office building renovation project task low priority expect complete approximately hour deadline task current user sentiment overwhelmed may impact performance,44,24
T1151,Task 002 of Office Building Renovation Project 051,"Task 002 involves critical work for the Office Building Renovation Project 051. This task has a high priority and is expected to be completed in approximately 27 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'focused', which may impact performance.",Frank,1.0,High,27,2024-09-25,Focused,task involve critical work office building renovation project task high priority expect complete approximately hour deadline task current user sentiment focused may impact performance,44,24
T1152,Task 003 of Office Building Renovation Project 051,"Task 003 involves critical work for the Office Building Renovation Project 051. This task has a high priority and is expected to be completed in approximately 12 hours. The deadline for this task is 2024-10-21. Current user sentiment is 'cautious', which may impact performance.",Ivy,0.41,High,12,2024-10-21,Cautious,task involve critical work office building renovation project task high priority expect complete approximately hour deadline task current user sentiment cautious may impact performance,44,24
T1153,Task 001 of Apartment Complex Development Project 052,"Task 001 involves critical work for the Apartment Complex Development Project 052. This task has a low priority and is expected to be completed in approximately 19 hours. The deadline for this task is 2025-07-27. Current user sentiment is 'content', which may impact performance.",Ivy,0.88,Low,19,2025-07-27,Content,task involve critical work apartment complex development project task low priority expect complete approximately hour deadline task current user sentiment content may impact performance,44,24
T1154,Task 002 of Apartment Complex Development Project 052,"Task 002 involves critical work for the Apartment Complex Development Project 052. This task has a low priority and is expected to be completed in approximately 14 hours. The deadline for this task is 2025-06-11. Current user sentiment is 'overwhelmed', which may impact performance.",Grace,0.19,Low,14,2025-06-11,Overwhelmed,task involve critical work apartment complex development project task low priority expect complete approximately hour deadline task current user sentiment overwhelmed may impact performance,44,24
T1155,Task 003 of Apartment Complex Development Project 052,"Task 003 involves critical work for the Apartment Complex Development Project 052. This task has a high priority and is expected to be completed in approximately 9 hours. The deadline for this task is 2025-08-22. Current user sentiment is 'neutral', which may impact performance.",Ivy,0.63,High,9,2025-08-22,Neutral,task involve critical work apartment complex development project task high priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,44,24
T1156,Task 001 of Commercial Center Construction Project 053,"Task 001 involves critical work for the Commercial Center Construction Project 053. This task has a low priority and is expected to be completed in approximately 3 hours. The deadline for this task is 2024-11-27. Current user sentiment is 'hopeful', which may impact performance.",Alice,0.48,Low,3,2024-11-27,Hopeful,task involve critical work commercial center construction project task low priority expect complete approximately hour deadline task current user sentiment hopeful may impact performance,44,24
T1157,Task 002 of Commercial Center Construction Project 053,"Task 002 involves critical work for the Commercial Center Construction Project 053. This task has a high priority and is expected to be completed in approximately 21 hours. The deadline for this task is 2024-10-21. Current user sentiment is 'neutral', which may impact performance.",Charlie,0.45,High,21,2024-10-21,Neutral,task involve critical work commercial center construction project task high priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,44,24
T1158,Task 003 of Commercial Center Construction Project 053,"Task 003 involves critical work for the Commercial Center Construction Project 053. This task has a high priority and is expected to be completed in approximately 6 hours. The deadline for this task is 2024-11-07. Current user sentiment is 'hopeful', which may impact performance.",Charlie,0.66,High,6,2024-11-07,Hopeful,task involve critical work commercial center construction project task high priority expect complete approximately hour deadline task current user sentiment hopeful may impact performance,44,24
T1159,Task 001 of Highway Reconstruction Project 054,"Task 001 involves critical work for the Highway Reconstruction Project 054. This task has a high priority and is expected to be completed in approximately 25 hours. The deadline for this task is 2024-12-26. Current user sentiment is 'relieved', which may impact performance.",Charlie,0.95,High,25,2024-12-26,Relieved,task involve critical work highway reconstruction project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,43,23
T1160,Task 002 of Highway Reconstruction Project 054,"Task 002 involves critical work for the Highway Reconstruction Project 054. This task has a high priority and is expected to be completed in approximately 33 hours. The deadline for this task is 2025-03-06. Current user sentiment is 'hopeful', which may impact performance.",Ivy,0.32,High,33,2025-03-06,Hopeful,task involve critical work highway reconstruction project task high priority expect complete approximately hour deadline task current user sentiment hopeful may impact performance,43,23
T1161,Task 003 of Highway Reconstruction Project 054,"Task 003 involves critical work for the Highway Reconstruction Project 054. This task has a low priority and is expected to be completed in approximately 16 hours. The deadline for this task is 2025-04-29. Current user sentiment is 'content', which may impact performance.",Eve,0.75,Low,16,2025-04-29,Content,task involve critical work highway reconstruction project task low priority expect complete approximately hour deadline task current user sentiment content may impact performance,43,23
T1162,Task 001 of Airport Expansion Project 055,"Task 001 involves critical work for the Airport Expansion Project 055. This task has a high priority and is expected to be completed in approximately 17 hours. The deadline for this task is 2025-04-21. Current user sentiment is 'neutral', which may impact performance.",David,0.36,High,17,2025-04-21,Neutral,task involve critical work airport expansion project task high priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,43,23
T1163,Task 002 of Airport Expansion Project 055,"Task 002 involves critical work for the Airport Expansion Project 055. This task has a high priority and is expected to be completed in approximately 29 hours. The deadline for this task is 2025-08-28. Current user sentiment is 'anxious', which may impact performance.",David,0.17,High,29,2025-08-28,Anxious,task involve critical work airport expansion project task high priority expect complete approximately hour deadline task current user sentiment anxious may impact performance,43,23
T1164,Task 003 of Airport Expansion Project 055,"Task 003 involves critical work for the Airport Expansion Project 055. This task has a high priority and is expected to be completed in approximately 27 hours. The deadline for this task is 2025-09-05. Current user sentiment is 'frustrated', which may impact performance.",Alice,0.09,High,27,2025-09-05,Frustrated,task involve critical work airport expansion project task high priority expect complete approximately hour deadline task current user sentiment frustrated may impact performance,43,23
T1165,Task 001 of Shopping Mall Renovation Project 056,"Task 001 involves critical work for the Shopping Mall Renovation Project 056. This task has a high priority and is expected to be completed in approximately 25 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'relieved', which may impact performance.",Eve,1.0,High,25,2024-09-25,Relieved,task involve critical work shopping mall renovation project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,44,24
T1166,Task 002 of Shopping Mall Renovation Project 056,"Task 002 involves critical work for the Shopping Mall Renovation Project 056. This task has a low priority and is expected to be completed in approximately 23 hours. The deadline for this task is 2024-11-02. Current user sentiment is 'anxious', which may impact performance.",Eve,0.08,Low,23,2024-11-02,Anxious,task involve critical work shopping mall renovation project task low priority expect complete approximately hour deadline task current user sentiment anxious may impact performance,44,24
T1167,Task 003 of Shopping Mall Renovation Project 056,"Task 003 involves critical work for the Shopping Mall Renovation Project 056. This task has a high priority and is expected to be completed in approximately 40 hours. The deadline for this task is 2024-11-04. Current user sentiment is 'anxious', which may impact performance.",Alice,0.19,High,40,2024-11-04,Anxious,task involve critical work shopping mall renovation project task high priority expect complete approximately hour deadline task current user sentiment anxious may impact performance,44,24
T1168,Task 001 of University Dormitory Construction Project 057,"Task 001 involves critical work for the University Dormitory Construction Project 057. This task has a medium priority and is expected to be completed in approximately 20 hours. The deadline for this task is 2025-06-15. Current user sentiment is 'anxious', which may impact performance.",Frank,0.15,Medium,20,2025-06-15,Anxious,task involve critical work university dormitory construction project task medium priority expect complete approximately hour deadline task current user sentiment anxious may impact performance,44,24
T1169,Task 002 of University Dormitory Construction Project 057,"Task 002 involves critical work for the University Dormitory Construction Project 057. This task has a high priority and is expected to be completed in approximately 6 hours. The deadline for this task is 2024-04-25. Current user sentiment is 'focused', which may impact performance.",Bob,1.0,High,6,2024-04-25,Focused,task involve critical work university dormitory construction project task high priority expect complete approximately hour deadline task current user sentiment focused may impact performance,44,24
T1170,Task 003 of University Dormitory Construction Project 057,"Task 003 involves critical work for the University Dormitory Construction Project 057. This task has a low priority and is expected to be completed in approximately 28 hours. The deadline for this task is 2024-12-29. Current user sentiment is 'hopeful', which may impact performance.",Alice,0.66,Low,28,2024-12-29,Hopeful,task involve critical work university dormitory construction project task low priority expect complete approximately hour deadline task current user sentiment hopeful may impact performance,44,24
T1171,Task 001 of Sports Stadium Upgrade Project 058,"Task 001 involves critical work for the Sports Stadium Upgrade Project 058. This task has a high priority and is expected to be completed in approximately 20 hours. The deadline for this task is 2024-08-26. Current user sentiment is 'relieved', which may impact performance.",Alice,1.0,High,20,2024-08-26,Relieved,task involve critical work sport stadium upgrade project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,44,24
T1172,Task 002 of Sports Stadium Upgrade Project 058,"Task 002 involves critical work for the Sports Stadium Upgrade Project 058. This task has a low priority and is expected to be completed in approximately 10 hours. The deadline for this task is 2025-09-04. Current user sentiment is 'satisfied', which may impact performance.",Bob,0.99,Low,10,2025-09-04,Satisfied,task involve critical work sport stadium upgrade project task low priority expect complete approximately hour deadline task current user sentiment satisfied may impact performance,44,24
T1173,Task 003 of Sports Stadium Upgrade Project 058,"Task 003 involves critical work for the Sports Stadium Upgrade Project 058. This task has a low priority and is expected to be completed in approximately 3 hours. The deadline for this task is 2025-07-06. Current user sentiment is 'content', which may impact performance.",David,0.93,Low,3,2025-07-06,Content,task involve critical work sport stadium upgrade project task low priority expect complete approximately hour deadline task current user sentiment content may impact performance,44,24
T1174,Task 001 of Public Library Renovation Project 059,"Task 001 involves critical work for the Public Library Renovation Project 059. This task has a high priority and is expected to be completed in approximately 2 hours. The deadline for this task is 2024-08-31. Current user sentiment is 'neutral', which may impact performance.",Grace,0.47,High,2,2024-08-31,Neutral,task involve critical work public library renovation project task high priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,44,24
T1175,Task 002 of Public Library Renovation Project 059,"Task 002 involves critical work for the Public Library Renovation Project 059. This task has a high priority and is expected to be completed in approximately 34 hours. The deadline for this task is 2024-07-24. Current user sentiment is 'focused', which may impact performance.",Alice,1.0,High,34,2024-07-24,Focused,task involve critical work public library renovation project task high priority expect complete approximately hour deadline task current user sentiment focused may impact performance,44,24
T1176,Task 003 of Public Library Renovation Project 059,"Task 003 involves critical work for the Public Library Renovation Project 059. This task has a high priority and is expected to be completed in approximately 33 hours. The deadline for this task is 2024-07-13. Current user sentiment is 'relieved', which may impact performance.",Charlie,1.0,High,33,2024-07-13,Relieved,task involve critical work public library renovation project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,44,24
T1177,Task 001 of Building a Park Project 060,"Task 001 involves critical work for the Building a Park Project 060. This task has a medium priority and is expected to be completed in approximately 8 hours. The deadline for this task is 2024-11-16. Current user sentiment is 'neutral', which may impact performance.",Ivy,0.44,Medium,8,2024-11-16,Neutral,task involve critical work building park project task medium priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,44,23
T1178,Task 002 of Building a Park Project 060,"Task 002 involves critical work for the Building a Park Project 060. This task has a high priority and is expected to be completed in approximately 5 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'relieved', which may impact performance.",Alice,1.0,High,5,2024-09-25,Relieved,task involve critical work building park project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,44,23
T1179,Task 003 of Building a Park Project 060,"Task 003 involves critical work for the Building a Park Project 060. This task has a high priority and is expected to be completed in approximately 34 hours. The deadline for this task is 2024-10-26. Current user sentiment is 'hopeful', which may impact performance.",Bob,0.37,High,34,2024-10-26,Hopeful,task involve critical work building park project task high priority expect complete approximately hour deadline task current user sentiment hopeful may impact performance,44,23
T1180,Task 001 of Renovation of a School Project 061,"Task involves critical work for the General Project. This task has a low priority and is expected to be completed in approximately 31 hours. The deadline for this task is 2025-05-05. Current user sentiment is 'content', which may impact performance.",Bob,0.84,Low,31,2025-05-05,Content,task involve critical work general project task low priority expect complete approximately hour deadline task current user sentiment content may impact performance,40,22
T1181,Task 002 of Renovation of a School Project 061,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 34 hours. The deadline for this task is 2025-05-21. Current user sentiment is 'overwhelmed', which may impact performance.",Eve,0.25,Medium,34,2025-05-21,Overwhelmed,task involve critical work general project task medium priority expect complete approximately hour deadline task current user sentiment overwhelmed may impact performance,40,22
T1182,Task 003 of Renovation of a School Project 061,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 36 hours. The deadline for this task is 2025-09-07. Current user sentiment is 'frustrated', which may impact performance.",Eve,0.0,Medium,36,2025-09-07,Frustrated,task involve critical work general project task medium priority expect complete approximately hour deadline task current user sentiment frustrated may impact performance,40,22
T1183,Task 001 of Innovation of a Classroom Project 062,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 11 hours. The deadline for this task is 2025-03-24. Current user sentiment is 'frustrated', which may impact performance.",Eve,0.11,High,11,2025-03-24,Frustrated,task involve critical work general project task high priority expect complete approximately hour deadline task current user sentiment frustrated may impact performance,40,22
T1184,Task 002 of Innovation of a Classroom Project 062,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 16 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'relieved', which may impact performance.",Charlie,1.0,High,16,2024-09-25,Relieved,task involve critical work general project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,40,22
T1185,Task 003 of Innovation of a Classroom Project 062,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 38 hours. The deadline for this task is 2025-02-22. Current user sentiment is 'overwhelmed', which may impact performance.",David,0.15,High,38,2025-02-22,Overwhelmed,task involve critical work general project task high priority expect complete approximately hour deadline task current user sentiment overwhelmed may impact performance,40,22
T1186,Task 001 of Construction of a Hospital Wing Project 063,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 5 hours. The deadline for this task is 2025-01-07. Current user sentiment is 'neutral', which may impact performance.",David,0.55,High,5,2025-01-07,Neutral,task involve critical work general project task high priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,40,22
T1187,Task 002 of Construction of a Hospital Wing Project 063,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 31 hours. The deadline for this task is 2024-08-18. Current user sentiment is 'relieved', which may impact performance.",Grace,1.0,High,31,2024-08-18,Relieved,task involve critical work general project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,40,22
T1188,Task 003 of Construction of a Hospital Wing Project 063,"Task involves critical work for the General Project. This task has a low priority and is expected to be completed in approximately 2 hours. The deadline for this task is 2025-04-11. Current user sentiment is 'hopeful', which may impact performance.",David,0.68,Low,2,2025-04-11,Hopeful,task involve critical work general project task low priority expect complete approximately hour deadline task current user sentiment hopeful may impact performance,40,22
T1189,Task 001 of Road Expansion Project 064,"Task 001 involves critical work for the Road Expansion Project 064. This task has a low priority and is expected to be completed in approximately 30 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'content', which may impact performance.",Grace,1.0,Low,30,2024-09-25,Content,task involve critical work road expansion project task low priority expect complete approximately hour deadline task current user sentiment content may impact performance,43,23
T1190,Task 002 of Road Expansion Project 064,"Task 002 involves critical work for the Road Expansion Project 064. This task has a medium priority and is expected to be completed in approximately 6 hours. The deadline for this task is 2024-07-25. Current user sentiment is 'content', which may impact performance.",Ivy,1.0,Medium,6,2024-07-25,Content,task involve critical work road expansion project task medium priority expect complete approximately hour deadline task current user sentiment content may impact performance,43,23
T1191,Task 003 of Road Expansion Project 064,"Task 003 involves critical work for the Road Expansion Project 064. This task has a high priority and is expected to be completed in approximately 40 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'focused', which may impact performance.",Charlie,1.0,High,40,2024-09-25,Focused,task involve critical work road expansion project task high priority expect complete approximately hour deadline task current user sentiment focused may impact performance,43,23
T1192,Task 001 of Bridge Maintenance Project 065,"Task 001 involves critical work for the Bridge Maintenance Project 065. This task has a high priority and is expected to be completed in approximately 18 hours. The deadline for this task is 2024-02-08. Current user sentiment is 'focused', which may impact performance.",Eve,1.0,High,18,2024-02-08,Focused,task involve critical work bridge maintenance project task high priority expect complete approximately hour deadline task current user sentiment focused may impact performance,43,23
T1193,Task 002 of Bridge Maintenance Project 065,"Task 002 involves critical work for the Bridge Maintenance Project 065. This task has a medium priority and is expected to be completed in approximately 26 hours. The deadline for this task is 2024-10-25. Current user sentiment is 'hopeful', which may impact performance.",Grace,0.41,Medium,26,2024-10-25,Hopeful,task involve critical work bridge maintenance project task medium priority expect complete approximately hour deadline task current user sentiment hopeful may impact performance,43,23
T1194,Task 003 of Bridge Maintenance Project 065,"Task 003 involves critical work for the Bridge Maintenance Project 065. This task has a high priority and is expected to be completed in approximately 26 hours. The deadline for this task is 2024-09-30. Current user sentiment is 'neutral', which may impact performance.",Alice,0.6,High,26,2024-09-30,Neutral,task involve critical work bridge maintenance project task high priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,43,23
T1195,Task 001 of Office Building Renovation Project 066,"Task 001 involves critical work for the Office Building Renovation Project 066. This task has a high priority and is expected to be completed in approximately 32 hours. The deadline for this task is 2024-11-23. Current user sentiment is 'neutral', which may impact performance.",Alice,0.53,High,32,2024-11-23,Neutral,task involve critical work office building renovation project task high priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,44,24
T1196,Task 002 of Office Building Renovation Project 066,"Task 002 involves critical work for the Office Building Renovation Project 066. This task has a high priority and is expected to be completed in approximately 20 hours. The deadline for this task is 2024-11-06. Current user sentiment is 'cautious', which may impact performance.",Frank,0.55,High,20,2024-11-06,Cautious,task involve critical work office building renovation project task high priority expect complete approximately hour deadline task current user sentiment cautious may impact performance,44,24
T1197,Task 003 of Office Building Renovation Project 066,"Task 003 involves critical work for the Office Building Renovation Project 066. This task has a medium priority and is expected to be completed in approximately 1 hours. The deadline for this task is 2024-09-13. Current user sentiment is 'cautious', which may impact performance.",Ivy,0.61,Medium,1,2024-09-13,Cautious,task involve critical work office building renovation project task medium priority expect complete approximately hour deadline task current user sentiment cautious may impact performance,44,24
T1198,Task 001 of Apartment Complex Development Project 067,"Task 001 involves critical work for the Apartment Complex Development Project 067. This task has a low priority and is expected to be completed in approximately 10 hours. The deadline for this task is 2025-01-12. Current user sentiment is 'overwhelmed', which may impact performance.",Ivy,0.04,Low,10,2025-01-12,Overwhelmed,task involve critical work apartment complex development project task low priority expect complete approximately hour deadline task current user sentiment overwhelmed may impact performance,44,24
T1199,Task 002 of Apartment Complex Development Project 067,"Task 002 involves critical work for the Apartment Complex Development Project 067. This task has a medium priority and is expected to be completed in approximately 4 hours. The deadline for this task is 2024-12-26. Current user sentiment is 'satisfied', which may impact performance.",Grace,0.71,Medium,4,2024-12-26,Satisfied,task involve critical work apartment complex development project task medium priority expect complete approximately hour deadline task current user sentiment satisfied may impact performance,44,24
T1200,Task 003 of Apartment Complex Development Project 067,"Task 003 involves critical work for the Apartment Complex Development Project 067. This task has a high priority and is expected to be completed in approximately 8 hours. The deadline for this task is 2024-03-03. Current user sentiment is 'relieved', which may impact performance.",Ivy,1.0,High,8,2024-03-03,Relieved,task involve critical work apartment complex development project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,44,24
T1201,Task 001 of Commercial Center Construction Project 068,"Task 001 involves critical work for the Commercial Center Construction Project 068. This task has a low priority and is expected to be completed in approximately 28 hours. The deadline for this task is 2025-05-28. Current user sentiment is 'hopeful', which may impact performance.",Alice,0.48,Low,28,2025-05-28,Hopeful,task involve critical work commercial center construction project task low priority expect complete approximately hour deadline task current user sentiment hopeful may impact performance,44,24
T1202,Task 002 of Commercial Center Construction Project 068,"Task 002 involves critical work for the Commercial Center Construction Project 068. This task has a low priority and is expected to be completed in approximately 32 hours. The deadline for this task is 2025-02-13. Current user sentiment is 'content', which may impact performance.",Charlie,0.93,Low,32,2025-02-13,Content,task involve critical work commercial center construction project task low priority expect complete approximately hour deadline task current user sentiment content may impact performance,44,24
T1203,Task 003 of Commercial Center Construction Project 068,"Task 003 involves critical work for the Commercial Center Construction Project 068. This task has a high priority and is expected to be completed in approximately 8 hours. The deadline for this task is 2024-03-03. Current user sentiment is 'focused', which may impact performance.",Charlie,1.0,High,8,2024-03-03,Focused,task involve critical work commercial center construction project task high priority expect complete approximately hour deadline task current user sentiment focused may impact performance,44,24
T1204,Task 001 of Highway Reconstruction Project 069,"Task 001 involves critical work for the Highway Reconstruction Project 069. This task has a high priority and is expected to be completed in approximately 16 hours. The deadline for this task is 2025-03-01. Current user sentiment is 'frustrated', which may impact performance.",Charlie,0.28,High,16,2025-03-01,Frustrated,task involve critical work highway reconstruction project task high priority expect complete approximately hour deadline task current user sentiment frustrated may impact performance,43,23
T1205,Task 002 of Highway Reconstruction Project 069,"Task 002 involves critical work for the Highway Reconstruction Project 069. This task has a high priority and is expected to be completed in approximately 36 hours. The deadline for this task is 2025-08-14. Current user sentiment is 'frustrated', which may impact performance.",Ivy,0.13,High,36,2025-08-14,Frustrated,task involve critical work highway reconstruction project task high priority expect complete approximately hour deadline task current user sentiment frustrated may impact performance,43,23
T1206,Task 003 of Highway Reconstruction Project 069,"Task 003 involves critical work for the Highway Reconstruction Project 069. This task has a low priority and is expected to be completed in approximately 3 hours. The deadline for this task is 2025-08-08. Current user sentiment is 'hopeful', which may impact performance.",Eve,0.5,Low,3,2025-08-08,Hopeful,task involve critical work highway reconstruction project task low priority expect complete approximately hour deadline task current user sentiment hopeful may impact performance,43,23
T1207,Task 001 of Airport Expansion Project 070,"Task 001 involves critical work for the Airport Expansion Project 070. This task has a high priority and is expected to be completed in approximately 0 hours. The deadline for this task is 2025-06-23. Current user sentiment is 'relieved', which may impact performance.",Alice,0.98,High,0,2025-06-23,Relieved,task involve critical work airport expansion project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,43,23
T1208,Task 002 of Airport Expansion Project 070,"Task 002 involves critical work for the Airport Expansion Project 070. This task has a high priority and is expected to be completed in approximately 21 hours. The deadline for this task is 2025-09-27. Current user sentiment is 'frustrated', which may impact performance.",David,0.11,High,21,2025-09-27,Frustrated,task involve critical work airport expansion project task high priority expect complete approximately hour deadline task current user sentiment frustrated may impact performance,43,23
T1209,Task 003 of Airport Expansion Project 070,"Task 003 involves critical work for the Airport Expansion Project 070. This task has a high priority and is expected to be completed in approximately 26 hours. The deadline for this task is 2024-04-01. Current user sentiment is 'relieved', which may impact performance.",Alice,1.0,High,26,2024-04-01,Relieved,task involve critical work airport expansion project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,43,23
T1210,Task 001 of Shopping Mall Renovation Project 071,"Task 001 involves critical work for the Shopping Mall Renovation Project 071. This task has a high priority and is expected to be completed in approximately 32 hours. The deadline for this task is 2024-02-18. Current user sentiment is 'focused', which may impact performance.",Eve,1.0,High,32,2024-02-18,Focused,task involve critical work shopping mall renovation project task high priority expect complete approximately hour deadline task current user sentiment focused may impact performance,44,24
T1211,Task 002 of Shopping Mall Renovation Project 071,"Task 002 involves critical work for the Shopping Mall Renovation Project 071. This task has a high priority and is expected to be completed in approximately 3 hours. The deadline for this task is 2024-02-19. Current user sentiment is 'cautious', which may impact performance.",Eve,0.62,High,3,2024-02-19,Cautious,task involve critical work shopping mall renovation project task high priority expect complete approximately hour deadline task current user sentiment cautious may impact performance,44,24
T1212,Task 003 of Shopping Mall Renovation Project 071,"Task 003 involves critical work for the Shopping Mall Renovation Project 071. This task has a high priority and is expected to be completed in approximately 10 hours. The deadline for this task is 2024-02-17. Current user sentiment is 'relieved', which may impact performance.",Alice,1.0,High,10,2024-02-17,Relieved,task involve critical work shopping mall renovation project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,44,24
T1213,Task 001 of University Dormitory Construction Project 072,"Task 001 involves critical work for the University Dormitory Construction Project 072. This task has a high priority and is expected to be completed in approximately 20 hours. The deadline for this task is 2025-05-27. Current user sentiment is 'relieved', which may impact performance.",Frank,0.77,High,20,2025-05-27,Relieved,task involve critical work university dormitory construction project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,44,24
T1214,Task 002 of University Dormitory Construction Project 072,"Task 002 involves critical work for the University Dormitory Construction Project 072. This task has a high priority and is expected to be completed in approximately 29 hours. The deadline for this task is 2024-05-26. Current user sentiment is 'relieved', which may impact performance.",Bob,1.0,High,29,2024-05-26,Relieved,task involve critical work university dormitory construction project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,44,24
T1215,Task 003 of University Dormitory Construction Project 072,"Task 003 involves critical work for the University Dormitory Construction Project 072. This task has a medium priority and is expected to be completed in approximately 0 hours. The deadline for this task is 2025-06-09. Current user sentiment is 'hopeful', which may impact performance.",Alice,0.36,Medium,0,2025-06-09,Hopeful,task involve critical work university dormitory construction project task medium priority expect complete approximately hour deadline task current user sentiment hopeful may impact performance,44,24
T1216,Task 001 of Sports Stadium Upgrade Project 073,"Task 001 involves critical work for the Sports Stadium Upgrade Project 073. This task has a low priority and is expected to be completed in approximately 29 hours. The deadline for this task is 2024-09-23. Current user sentiment is 'satisfied', which may impact performance.",Alice,1.0,Low,29,2024-09-23,Satisfied,task involve critical work sport stadium upgrade project task low priority expect complete approximately hour deadline task current user sentiment satisfied may impact performance,44,24
