Task_ID,Task_Name,Description,Assigned_To,Progress,Priority,Completion_Time,Deadline,User_Sentiment
T1183,Task 001 of Innovation of a Classroom Project 062,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 11 hours. The deadline for this task is 2025-03-24. Current user sentiment is 'frustrated', which may impact performance.",Eve,0.11,High,11,2025-03-24,Frustrated
T1184,Task 002 of Innovation of a Classroom Project 062,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 16 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'relieved', which may impact performance.",Charlie,1.0,High,16,2024-09-25,Relieved
T1185,Task 003 of Innovation of a Classroom Project 062,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 38 hours. The deadline for this task is 2025-02-22. Current user sentiment is 'overwhelmed', which may impact performance.",David,0.15,High,38,2025-02-22,Overwhelmed
T1186,Task 001 of Construction of a Hospital Wing Project 063,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 5 hours. The deadline for this task is 2025-01-07. Current user sentiment is 'neutral', which may impact performance.",David,0.55,High,5,2025-01-07,Neutral
T1187,Task 002 of Construction of a Hospital Wing Project 063,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 31 hours. The deadline for this task is 2024-08-18. Current user sentiment is 'relieved', which may impact performance.",Grace,1.0,High,31,2024-08-18,Relieved
T1188,Task 003 of Construction of a Hospital Wing Project 063,"Task involves critical work for the General Project. This task has a low priority and is expected to be completed in approximately 2 hours. The deadline for this task is 2025-04-11. Current user sentiment is 'hopeful', which may impact performance.",David,0.68,Low,2,2025-04-11,Hopeful
T1189,Task 001 of Road Expansion Project 064,"Task 001 involves critical work for the Road Expansion Project 064. This task has a low priority and is expected to be completed in approximately 30 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'content', which may impact performance.",Grace,1.0,Low,30,2024-09-25,Content
T1190,Task 002 of Road Expansion Project 064,"Task 002 involves critical work for the Road Expansion Project 064. This task has a medium priority and is expected to be completed in approximately 6 hours. The deadline for this task is 2024-07-25. Current user sentiment is 'content', which may impact performance.",Ivy,1.0,Medium,6,2024-07-25,Content
T1191,Task 003 of Road Expansion Project 064,"Task 003 involves critical work for the Road Expansion Project 064. This task has a high priority and is expected to be completed in approximately 40 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'focused', which may impact performance.",Charlie,1.0,High,40,2024-09-25,Focused
T1192,Task 001 of Bridge Maintenance Project 065,"Task 001 involves critical work for the Bridge Maintenance Project 065. This task has a high priority and is expected to be completed in approximately 18 hours. The deadline for this task is 2024-02-08. Current user sentiment is 'focused', which may impact performance.",Eve,1.0,High,18,2024-02-08,Focused
T1193,Task 002 of Bridge Maintenance Project 065,"Task 002 involves critical work for the Bridge Maintenance Project 065. This task has a medium priority and is expected to be completed in approximately 26 hours. The deadline for this task is 2024-10-25. Current user sentiment is 'hopeful', which may impact performance.",Grace,0.41,Medium,26,2024-10-25,Hopeful
T1194,Task 003 of Bridge Maintenance Project 065,"Task 003 involves critical work for the Bridge Maintenance Project 065. This task has a high priority and is expected to be completed in approximately 26 hours. The deadline for this task is 2024-09-30. Current user sentiment is 'neutral', which may impact performance.",Alice,0.6,High,26,2024-09-30,Neutral
T1195,Task 001 of Office Building Renovation Project 066,"Task 001 involves critical work for the Office Building Renovation Project 066. This task has a high priority and is expected to be completed in approximately 32 hours. The deadline for this task is 2024-11-23. Current user sentiment is 'neutral', which may impact performance.",Alice,0.53,High,32,2024-11-23,Neutral
T1196,Task 002 of Office Building Renovation Project 066,"Task 002 involves critical work for the Office Building Renovation Project 066. This task has a high priority and is expected to be completed in approximately 20 hours. The deadline for this task is 2024-11-06. Current user sentiment is 'cautious', which may impact performance.",Frank,0.55,High,20,2024-11-06,Cautious
T1197,Task 003 of Office Building Renovation Project 066,"Task 003 involves critical work for the Office Building Renovation Project 066. This task has a medium priority and is expected to be completed in approximately 1 hours. The deadline for this task is 2024-09-13. Current user sentiment is 'cautious', which may impact performance.",Ivy,0.61,Medium,1,2024-09-13,Cautious
T1198,Task 001 of Apartment Complex Development Project 067,"Task 001 involves critical work for the Apartment Complex Development Project 067. This task has a low priority and is expected to be completed in approximately 10 hours. The deadline for this task is 2025-01-12. Current user sentiment is 'overwhelmed', which may impact performance.",Ivy,0.04,Low,10,2025-01-12,Overwhelmed
T1199,Task 002 of Apartment Complex Development Project 067,"Task 002 involves critical work for the Apartment Complex Development Project 067. This task has a medium priority and is expected to be completed in approximately 4 hours. The deadline for this task is 2024-12-26. Current user sentiment is 'satisfied', which may impact performance.",Grace,0.71,Medium,4,2024-12-26,Satisfied
T1200,Task 003 of Apartment Complex Development Project 067,"Task 003 involves critical work for the Apartment Complex Development Project 067. This task has a high priority and is expected to be completed in approximately 8 hours. The deadline for this task is 2024-03-03. Current user sentiment is 'relieved', which may impact performance.",Ivy,1.0,High,8,2024-03-03,Relieved
T1201,Task 001 of Commercial Center Construction Project 068,"Task 001 involves critical work for the Commercial Center Construction Project 068. This task has a low priority and is expected to be completed in approximately 28 hours. The deadline for this task is 2025-05-28. Current user sentiment is 'hopeful', which may impact performance.",Alice,0.48,Low,28,2025-05-28,Hopeful
T1202,Task 002 of Commercial Center Construction Project 068,"Task 002 involves critical work for the Commercial Center Construction Project 068. This task has a low priority and is expected to be completed in approximately 32 hours. The deadline for this task is 2025-02-13. Current user sentiment is 'content', which may impact performance.",Charlie,0.93,Low,32,2025-02-13,Content
T1203,Task 003 of Commercial Center Construction Project 068,"Task 003 involves critical work for the Commercial Center Construction Project 068. This task has a high priority and is expected to be completed in approximately 8 hours. The deadline for this task is 2024-03-03. Current user sentiment is 'focused', which may impact performance.",Charlie,1.0,High,8,2024-03-03,Focused
T1204,Task 001 of Highway Reconstruction Project 069,"Task 001 involves critical work for the Highway Reconstruction Project 069. This task has a high priority and is expected to be completed in approximately 16 hours. The deadline for this task is 2025-03-01. Current user sentiment is 'frustrated', which may impact performance.",Charlie,0.28,High,16,2025-03-01,Frustrated
T1205,Task 002 of Highway Reconstruction Project 069,"Task 002 involves critical work for the Highway Reconstruction Project 069. This task has a high priority and is expected to be completed in approximately 36 hours. The deadline for this task is 2025-08-14. Current user sentiment is 'frustrated', which may impact performance.",Ivy,0.13,High,36,2025-08-14,Frustrated
T1206,Task 003 of Highway Reconstruction Project 069,"Task 003 involves critical work for the Highway Reconstruction Project 069. This task has a low priority and is expected to be completed in approximately 3 hours. The deadline for this task is 2025-08-08. Current user sentiment is 'hopeful', which may impact performance.",Eve,0.5,Low,3,2025-08-08,Hopeful
T1207,Task 001 of Airport Expansion Project 070,"Task 001 involves critical work for the Airport Expansion Project 070. This task has a high priority and is expected to be completed in approximately 0 hours. The deadline for this task is 2025-06-23. Current user sentiment is 'relieved', which may impact performance.",Alice,0.98,High,0,2025-06-23,Relieved
T1208,Task 002 of Airport Expansion Project 070,"Task 002 involves critical work for the Airport Expansion Project 070. This task has a high priority and is expected to be completed in approximately 21 hours. The deadline for this task is 2025-09-27. Current user sentiment is 'frustrated', which may impact performance.",David,0.11,High,21,2025-09-27,Frustrated
T1209,Task 003 of Airport Expansion Project 070,"Task 003 involves critical work for the Airport Expansion Project 070. This task has a high priority and is expected to be completed in approximately 26 hours. The deadline for this task is 2024-04-01. Current user sentiment is 'relieved', which may impact performance.",Alice,1.0,High,26,2024-04-01,Relieved
T1210,Task 001 of Shopping Mall Renovation Project 071,"Task 001 involves critical work for the Shopping Mall Renovation Project 071. This task has a high priority and is expected to be completed in approximately 32 hours. The deadline for this task is 2024-02-18. Current user sentiment is 'focused', which may impact performance.",Eve,1.0,High,32,2024-02-18,Focused
T1211,Task 002 of Shopping Mall Renovation Project 071,"Task 002 involves critical work for the Shopping Mall Renovation Project 071. This task has a high priority and is expected to be completed in approximately 3 hours. The deadline for this task is 2024-02-19. Current user sentiment is 'cautious', which may impact performance.",Eve,0.62,High,3,2024-02-19,Cautious
T1212,Task 003 of Shopping Mall Renovation Project 071,"Task 003 involves critical work for the Shopping Mall Renovation Project 071. This task has a high priority and is expected to be completed in approximately 10 hours. The deadline for this task is 2024-02-17. Current user sentiment is 'relieved', which may impact performance.",Alice,1.0,High,10,2024-02-17,Relieved
T1213,Task 001 of University Dormitory Construction Project 072,"Task 001 involves critical work for the University Dormitory Construction Project 072. This task has a high priority and is expected to be completed in approximately 20 hours. The deadline for this task is 2025-05-27. Current user sentiment is 'relieved', which may impact performance.",Frank,0.77,High,20,2025-05-27,Relieved
T1214,Task 002 of University Dormitory Construction Project 072,"Task 002 involves critical work for the University Dormitory Construction Project 072. This task has a high priority and is expected to be completed in approximately 29 hours. The deadline for this task is 2024-05-26. Current user sentiment is 'relieved', which may impact performance.",Bob,1.0,High,29,2024-05-26,Relieved
T1215,Task 003 of University Dormitory Construction Project 072,"Task 003 involves critical work for the University Dormitory Construction Project 072. This task has a medium priority and is expected to be completed in approximately 0 hours. The deadline for this task is 2025-06-09. Current user sentiment is 'hopeful', which may impact performance.",Alice,0.36,Medium,0,2025-06-09,Hopeful
T1216,Task 001 of Sports Stadium Upgrade Project 073,"Task 001 involves critical work for the Sports Stadium Upgrade Project 073. This task has a low priority and is expected to be completed in approximately 29 hours. The deadline for this task is 2024-09-23. Current user sentiment is 'satisfied', which may impact performance.",Alice,1.0,Low,29,2024-09-23,Satisfied
T1217,Task 002 of Sports Stadium Upgrade Project 073,"Task 002 involves critical work for the Sports Stadium Upgrade Project 073. This task has a high priority and is expected to be completed in approximately 24 hours. The deadline for this task is 2024-08-22. Current user sentiment is 'relieved', which may impact performance.",Bob,1.0,High,24,2024-08-22,Relieved
T1218,Task 003 of Sports Stadium Upgrade Project 073,"Task 003 involves critical work for the Sports Stadium Upgrade Project 073. This task has a high priority and is expected to be completed in approximately 14 hours. The deadline for this task is 2024-09-14. Current user sentiment is 'focused', which may impact performance.",David,1.0,High,14,2024-09-14,Focused
T1219,Task 001 of Public Library Renovation Project 074,"Task 001 involves critical work for the Public Library Renovation Project 074. This task has a high priority and is expected to be completed in approximately 13 hours. The deadline for this task is 2024-07-26. Current user sentiment is 'relieved', which may impact performance.",Grace,0.74,High,13,2024-07-26,Relieved
T1220,Task 002 of Public Library Renovation Project 074,"Task 002 involves critical work for the Public Library Renovation Project 074. This task has a high priority and is expected to be completed in approximately 8 hours. The deadline for this task is 2024-08-01. Current user sentiment is 'anxious', which may impact performance.",Alice,0.18,High,8,2024-08-01,Anxious
T1221,Task 003 of Public Library Renovation Project 074,"Task 003 involves critical work for the Public Library Renovation Project 074. This task has a high priority and is expected to be completed in approximately 39 hours. The deadline for this task is 2024-07-17. Current user sentiment is 'overwhelmed', which may impact performance.",Charlie,0.05,High,39,2024-07-17,Overwhelmed
T1222,Task 001 of Building a Park Project 075,"Task 001 involves critical work for the Building a Park Project 075. This task has a medium priority and is expected to be completed in approximately 11 hours. The deadline for this task is 2024-06-13. Current user sentiment is 'content', which may impact performance.",Ivy,1.0,Medium,11,2024-06-13,Content
T1223,Task 002 of Building a Park Project 075,"Task 002 involves critical work for the Building a Park Project 075. This task has a medium priority and is expected to be completed in approximately 11 hours. The deadline for this task is 2025-09-12. Current user sentiment is 'frustrated', which may impact performance.",Alice,0.26,Medium,11,2025-09-12,Frustrated
T1224,Task 003 of Building a Park Project 075,"Task 003 involves critical work for the Building a Park Project 075. This task has a medium priority and is expected to be completed in approximately 0 hours. The deadline for this task is 2025-07-26. Current user sentiment is 'anxious', which may impact performance.",Bob,0.29,Medium,0,2025-07-26,Anxious
T1225,Task 001 of Renovation of a School Project 076,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 15 hours. The deadline for this task is 2024-08-01. Current user sentiment is 'focused', which may impact performance.",Bob,0.71,High,15,2024-08-01,Focused
T1226,Task 002 of Renovation of a School Project 076,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 19 hours. The deadline for this task is 2024-08-11. Current user sentiment is 'satisfied', which may impact performance.",Eve,1.0,Medium,19,2024-08-11,Satisfied
T1227,Task 003 of Renovation of a School Project 076,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 10 hours. The deadline for this task is 2024-08-01. Current user sentiment is 'frustrated', which may impact performance.",Eve,0.21,High,10,2024-08-01,Frustrated
T1228,Task 001 of Innovation of a Classroom Project 077,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 2 hours. The deadline for this task is 2025-02-07. Current user sentiment is 'satisfied', which may impact performance.",Eve,0.85,Medium,2,2025-02-07,Satisfied
T1229,Task 002 of Innovation of a Classroom Project 077,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 39 hours. The deadline for this task is 2024-05-12. Current user sentiment is 'relieved', which may impact performance.",Charlie,1.0,High,39,2024-05-12,Relieved
T1230,Task 003 of Innovation of a Classroom Project 077,"Task involves critical work for the General Project. This task has a low priority and is expected to be completed in approximately 1 hours. The deadline for this task is 2025-03-13. Current user sentiment is 'anxious', which may impact performance.",David,0.15,Low,1,2025-03-13,Anxious
T1231,Task 001 of Construction of a Hospital Wing Project 078,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 25 hours. The deadline for this task is 2024-04-19. Current user sentiment is 'focused', which may impact performance.",Alice,1.0,High,25,2024-04-19,Focused
T1232,Task 002 of Construction of a Hospital Wing Project 078,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 4 hours. The deadline for this task is 2024-03-18. Current user sentiment is 'focused', which may impact performance.",Grace,0.95,High,4,2024-03-18,Focused
T1233,Task 003 of Construction of a Hospital Wing Project 078,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 12 hours. The deadline for this task is 2024-04-09. Current user sentiment is 'content', which may impact performance.",Alice,1.0,Medium,12,2024-04-09,Content
T1234,Task 001 of Road Expansion Project 079,"Task 001 involves critical work for the Road Expansion Project 079. This task has a high priority and is expected to be completed in approximately 13 hours. The deadline for this task is 2025-01-13. Current user sentiment is 'overwhelmed', which may impact performance.",Grace,0.11,High,13,2025-01-13,Overwhelmed
T1235,Task 002 of Road Expansion Project 079,"Task 002 involves critical work for the Road Expansion Project 079. This task has a high priority and is expected to be completed in approximately 34 hours. The deadline for this task is 2025-03-15. Current user sentiment is 'overwhelmed', which may impact performance.",Ivy,0.05,High,34,2025-03-15,Overwhelmed
T1236,Task 003 of Road Expansion Project 079,"Task 003 involves critical work for the Road Expansion Project 079. This task has a medium priority and is expected to be completed in approximately 13 hours. The deadline for this task is 2024-05-25. Current user sentiment is 'content', which may impact performance.",Charlie,1.0,Medium,13,2024-05-25,Content
T1237,Task 001 of Bridge Maintenance Project 080,"Task 001 involves critical work for the Bridge Maintenance Project 080. This task has a high priority and is expected to be completed in approximately 13 hours. The deadline for this task is 2024-07-09. Current user sentiment is 'focused', which may impact performance.",Eve,0.7,High,13,2024-07-09,Focused
T1238,Task 002 of Bridge Maintenance Project 080,"Task 002 involves critical work for the Bridge Maintenance Project 080. This task has a low priority and is expected to be completed in approximately 15 hours. The deadline for this task is 2024-06-23. Current user sentiment is 'hopeful', which may impact performance.",Grace,0.65,Low,15,2024-06-23,Hopeful
T1239,Task 003 of Bridge Maintenance Project 080,"Task 003 involves critical work for the Bridge Maintenance Project 080. This task has a medium priority and is expected to be completed in approximately 27 hours. The deadline for this task is 2024-07-06. Current user sentiment is 'satisfied', which may impact performance.",Alice,1.0,Medium,27,2024-07-06,Satisfied
T1240,Task 001 of Office Building Renovation Project 081,"Task 001 involves critical work for the Office Building Renovation Project 081. This task has a high priority and is expected to be completed in approximately 26 hours. The deadline for this task is 2025-01-04. Current user sentiment is 'anxious', which may impact performance.",Alice,0.08,High,26,2025-01-04,Anxious
T1241,Task 002 of Office Building Renovation Project 081,"Task 002 involves critical work for the Office Building Renovation Project 081. This task has a medium priority and is expected to be completed in approximately 5 hours. The deadline for this task is 2025-03-03. Current user sentiment is 'overwhelmed', which may impact performance.",Frank,0.09,Medium,5,2025-03-03,Overwhelmed
T1242,Task 003 of Office Building Renovation Project 081,"Task 003 involves critical work for the Office Building Renovation Project 081. This task has a high priority and is expected to be completed in approximately 5 hours. The deadline for this task is 2024-07-03. Current user sentiment is 'focused', which may impact performance.",Ivy,1.0,High,5,2024-07-03,Focused
T1243,Task 001 of Apartment Complex Development Project 082,"Task 001 involves critical work for the Apartment Complex Development Project 082. This task has a medium priority and is expected to be completed in approximately 4 hours. The deadline for this task is 2025-03-12. Current user sentiment is 'neutral', which may impact performance.",Ivy,0.47,Medium,4,2025-03-12,Neutral
T1244,Task 002 of Apartment Complex Development Project 082,"Task 002 involves critical work for the Apartment Complex Development Project 082. This task has a medium priority and is expected to be completed in approximately 10 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'content', which may impact performance.",Grace,1.0,Medium,10,2024-09-25,Content
T1245,Task 003 of Apartment Complex Development Project 082,"Task 003 involves critical work for the Apartment Complex Development Project 082. This task has a high priority and is expected to be completed in approximately 21 hours. The deadline for this task is 2025-03-17. Current user sentiment is 'neutral', which may impact performance.",Ivy,0.58,High,21,2025-03-17,Neutral
T1246,Task 001 of Commercial Center Construction Project 083,"Task 001 involves critical work for the Commercial Center Construction Project 083. This task has a medium priority and is expected to be completed in approximately 24 hours. The deadline for this task is 2024-06-05. Current user sentiment is 'content', which may impact performance.",Alice,1.0,Medium,24,2024-06-05,Content
T1247,Task 002 of Commercial Center Construction Project 083,"Task 002 involves critical work for the Commercial Center Construction Project 083. This task has a high priority and is expected to be completed in approximately 19 hours. The deadline for this task is 2024-05-25. Current user sentiment is 'focused', which may impact performance.",Charlie,1.0,High,19,2024-05-25,Focused
T1248,Task 003 of Commercial Center Construction Project 083,"Task 003 involves critical work for the Commercial Center Construction Project 083. This task has a high priority and is expected to be completed in approximately 28 hours. The deadline for this task is 2024-06-15. Current user sentiment is 'neutral', which may impact performance.",Charlie,0.37,High,28,2024-06-15,Neutral
T1249,Task 001 of Highway Reconstruction Project 084,"Task 001 involves critical work for the Highway Reconstruction Project 084. This task has a low priority and is expected to be completed in approximately 17 hours. The deadline for this task is 2025-05-08. Current user sentiment is 'neutral', which may impact performance.",Charlie,0.54,Low,17,2025-05-08,Neutral
T1250,Task 002 of Highway Reconstruction Project 084,"Task 002 involves critical work for the Highway Reconstruction Project 084. This task has a medium priority and is expected to be completed in approximately 16 hours. The deadline for this task is 2025-04-19. Current user sentiment is 'content', which may impact performance.",Ivy,0.91,Medium,16,2025-04-19,Content
T1251,Task 003 of Highway Reconstruction Project 084,"Task 003 involves critical work for the Highway Reconstruction Project 084. This task has a high priority and is expected to be completed in approximately 14 hours. The deadline for this task is 2025-03-25. Current user sentiment is 'anxious', which may impact performance.",Eve,0.2,High,14,2025-03-25,Anxious
T1252,Task 001 of Airport Expansion Project 085,"Task 001 involves critical work for the Airport Expansion Project 085. This task has a low priority and is expected to be completed in approximately 17 hours. The deadline for this task is 2024-11-18. Current user sentiment is 'anxious', which may impact performance.",Alice,0.02,Low,17,2024-11-18,Anxious
T1253,Task 002 of Airport Expansion Project 085,"Task 002 involves critical work for the Airport Expansion Project 085. This task has a high priority and is expected to be completed in approximately 15 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'relieved', which may impact performance.",David,1.0,High,15,2024-09-25,Relieved
T1254,Task 003 of Airport Expansion Project 085,"Task 003 involves critical work for the Airport Expansion Project 085. This task has a high priority and is expected to be completed in approximately 24 hours. The deadline for this task is 2024-11-19. Current user sentiment is 'cautious', which may impact performance.",Alice,0.51,High,24,2024-11-19,Cautious
T1255,Task 001 of Shopping Mall Renovation Project 086,"Task 001 involves critical work for the Shopping Mall Renovation Project 086. This task has a high priority and is expected to be completed in approximately 35 hours. The deadline for this task is 2024-12-10. Current user sentiment is 'hopeful', which may impact performance.",Eve,0.54,High,35,2024-12-10,Hopeful
T1256,Task 002 of Shopping Mall Renovation Project 086,"Task 002 involves critical work for the Shopping Mall Renovation Project 086. This task has a high priority and is expected to be completed in approximately 6 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'focused', which may impact performance.",Eve,1.0,High,6,2024-09-25,Focused
T1257,Task 003 of Shopping Mall Renovation Project 086,"Task 003 involves critical work for the Shopping Mall Renovation Project 086. This task has a high priority and is expected to be completed in approximately 19 hours. The deadline for this task is 2024-10-17. Current user sentiment is 'overwhelmed', which may impact performance.",Alice,0.25,High,19,2024-10-17,Overwhelmed
T1258,Task 001 of University Dormitory Construction Project 087,"Task 001 involves critical work for the University Dormitory Construction Project 087. This task has a high priority and is expected to be completed in approximately 8 hours. The deadline for this task is 2025-09-11. Current user sentiment is 'anxious', which may impact performance.",Frank,0.06,High,8,2025-09-11,Anxious
T1259,Task 002 of University Dormitory Construction Project 087,"Task 002 involves critical work for the University Dormitory Construction Project 087. This task has a medium priority and is expected to be completed in approximately 1 hours. The deadline for this task is 2025-10-07. Current user sentiment is 'neutral', which may impact performance.",Bob,0.45,Medium,1,2025-10-07,Neutral
T1260,Task 003 of University Dormitory Construction Project 087,"Task 003 involves critical work for the University Dormitory Construction Project 087. This task has a high priority and is expected to be completed in approximately 12 hours. The deadline for this task is 2025-10-06. Current user sentiment is 'hopeful', which may impact performance.",Alice,0.3,High,12,2025-10-06,Hopeful
T1261,Task 001 of Sports Stadium Upgrade Project 088,"Task 001 involves critical work for the Sports Stadium Upgrade Project 088. This task has a high priority and is expected to be completed in approximately 16 hours. The deadline for this task is 2025-02-13. Current user sentiment is 'frustrated', which may impact performance.",Alice,0.29,High,16,2025-02-13,Frustrated
T1262,Task 002 of Sports Stadium Upgrade Project 088,"Task 002 involves critical work for the Sports Stadium Upgrade Project 088. This task has a medium priority and is expected to be completed in approximately 30 hours. The deadline for this task is 2025-02-02. Current user sentiment is 'hopeful', which may impact performance.",Bob,0.48,Medium,30,2025-02-02,Hopeful
T1263,Task 003 of Sports Stadium Upgrade Project 088,"Task 003 involves critical work for the Sports Stadium Upgrade Project 088. This task has a high priority and is expected to be completed in approximately 18 hours. The deadline for this task is 2024-12-21. Current user sentiment is 'focused', which may impact performance.",David,0.77,High,18,2024-12-21,Focused
T1264,Task 001 of Public Library Renovation Project 089,"Task 001 involves critical work for the Public Library Renovation Project 089. This task has a medium priority and is expected to be completed in approximately 17 hours. The deadline for this task is 2025-05-06. Current user sentiment is 'satisfied', which may impact performance.",Grace,0.75,Medium,17,2025-05-06,Satisfied
T1265,Task 002 of Public Library Renovation Project 089,"Task 002 involves critical work for the Public Library Renovation Project 089. This task has a high priority and is expected to be completed in approximately 4 hours. The deadline for this task is 2025-07-18. Current user sentiment is 'anxious', which may impact performance.",Alice,0.23,High,4,2025-07-18,Anxious
T1266,Task 003 of Public Library Renovation Project 089,"Task 003 involves critical work for the Public Library Renovation Project 089. This task has a medium priority and is expected to be completed in approximately 34 hours. The deadline for this task is 2024-06-28. Current user sentiment is 'content', which may impact performance.",Charlie,1.0,Medium,34,2024-06-28,Content
T1267,Task 001 of Building a Park Project 090,"Task 001 involves critical work for the Building a Park Project 090. This task has a high priority and is expected to be completed in approximately 21 hours. The deadline for this task is 2024-07-14. Current user sentiment is 'focused', which may impact performance.",Ivy,1.0,High,21,2024-07-14,Focused
T1268,Task 002 of Building a Park Project 090,"Task 002 involves critical work for the Building a Park Project 090. This task has a low priority and is expected to be completed in approximately 27 hours. The deadline for this task is 2025-09-01. Current user sentiment is 'anxious', which may impact performance.",Alice,0.08,Low,27,2025-09-01,Anxious
T1269,Task 003 of Building a Park Project 090,"Task 003 involves critical work for the Building a Park Project 090. This task has a high priority and is expected to be completed in approximately 21 hours. The deadline for this task is 2025-10-21. Current user sentiment is 'focused', which may impact performance.",Bob,0.96,High,21,2025-10-21,Focused
T1270,Task 001 of Renovation of a School Project 091,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 23 hours. The deadline for this task is 2024-06-24. Current user sentiment is 'relieved', which may impact performance.",Bob,1.0,High,23,2024-06-24,Relieved
T1271,Task 002 of Renovation of a School Project 091,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 22 hours. The deadline for this task is 2025-03-13. Current user sentiment is 'content', which may impact performance.",Eve,0.92,Medium,22,2025-03-13,Content
T1272,Task 003 of Renovation of a School Project 091,"Task involves critical work for the General Project. This task has a low priority and is expected to be completed in approximately 33 hours. The deadline for this task is 2025-03-21. Current user sentiment is 'neutral', which may impact performance.",Eve,0.64,Low,33,2025-03-21,Neutral
T1273,Task 001 of Innovation of a Classroom Project 092,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 22 hours. The deadline for this task is 2024-11-26. Current user sentiment is 'frustrated', which may impact performance.",Eve,0.04,Medium,22,2024-11-26,Frustrated
T1274,Task 002 of Innovation of a Classroom Project 092,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 13 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'content', which may impact performance.",Charlie,1.0,Medium,13,2024-09-25,Content
T1275,Task 003 of Innovation of a Classroom Project 092,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 11 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'focused', which may impact performance.",David,1.0,High,11,2024-09-25,Focused
T1276,Task 001 of Construction of a Hospital Wing Project 093,"Task involves critical work for the General Project. This task has a low priority and is expected to be completed in approximately 40 hours. The deadline for this task is 2024-09-21. Current user sentiment is 'satisfied', which may impact performance.",Alice,1.0,Low,40,2024-09-21,Satisfied
T1277,Task 002 of Construction of a Hospital Wing Project 093,"Task involves critical work for the General Project. This task has a low priority and is expected to be completed in approximately 31 hours. The deadline for this task is 2025-04-19. Current user sentiment is 'content', which may impact performance.",Grace,0.75,Low,31,2025-04-19,Content
T1278,Task 003 of Construction of a Hospital Wing Project 093,"Task involves critical work for the General Project. This task has a low priority and is expected to be completed in approximately 0 hours. The deadline for this task is 2024-09-21. Current user sentiment is 'satisfied', which may impact performance.",Charlie,1.0,Low,0,2024-09-21,Satisfied
T1279,Task 001 of Road Expansion Project 094,"Task 001 involves critical work for the Road Expansion Project 094. This task has a high priority and is expected to be completed in approximately 13 hours. The deadline for this task is 2024-10-06. Current user sentiment is 'cautious', which may impact performance.",Grace,0.44,High,13,2024-10-06,Cautious
T1280,Task 002 of Road Expansion Project 094,"Task 002 involves critical work for the Road Expansion Project 094. This task has a high priority and is expected to be completed in approximately 20 hours. The deadline for this task is 2024-09-29. Current user sentiment is 'neutral', which may impact performance.",Ivy,0.42,High,20,2024-09-29,Neutral
T1281,Task 003 of Road Expansion Project 094,"Task 003 involves critical work for the Road Expansion Project 094. This task has a medium priority and is expected to be completed in approximately 39 hours. The deadline for this task is 2024-09-23. Current user sentiment is 'neutral', which may impact performance.",Charlie,0.37,Medium,39,2024-09-23,Neutral
T1282,Task 001 of Bridge Maintenance Project 095,"Task 001 involves critical work for the Bridge Maintenance Project 095. This task has a medium priority and is expected to be completed in approximately 24 hours. The deadline for this task is 2024-08-02. Current user sentiment is 'satisfied', which may impact performance.",Eve,0.81,Medium,24,2024-08-02,Satisfied
T1283,Task 002 of Bridge Maintenance Project 095,"Task 002 involves critical work for the Bridge Maintenance Project 095. This task has a low priority and is expected to be completed in approximately 34 hours. The deadline for this task is 2024-06-29. Current user sentiment is 'satisfied', which may impact performance.",Grace,0.97,Low,34,2024-06-29,Satisfied
T1284,Task 003 of Bridge Maintenance Project 095,"Task 003 involves critical work for the Bridge Maintenance Project 095. This task has a high priority and is expected to be completed in approximately 7 hours. The deadline for this task is 2024-07-27. Current user sentiment is 'cautious', which may impact performance.",Charlie,0.58,High,7,2024-07-27,Cautious
